result,message
大凶,他の人の所に行ってしまう前に行動しよう。
大凶,踏み出さなくちゃ。なにも始まらないよ、頑張れ。
大吉,目が合うのは勘違いじゃないよ。
大吉,意識してるから！！！！！まじで！！！！！このままいけ！！！！！
大凶,優しくされたからって期待するな。
大凶,自分磨きしてないお前が悪いよ。
大吉,嫌なところ100個あっても、好きな所1個が勝っちゃうんだよな。頑張れ。
？？？,恋みくじなんかに頼るんだったら今すぐアタックしてこいよ。
大凶,行動しなきゃ始まらないよ？
大吉,想ってるだけじゃ、何も起こらない。
大凶,駆け引きなんか意味ないよ？w
大凶,曖昧な気持ちは相手も傷付けるんだよ？
大吉,自分に従って。大丈夫。
大吉,そろそろ真剣になってもいいんじゃない？
大吉,身近なところに、運命の出会いあり。
大凶,本気になった恋ほど叶わない。
大凶,今の関係に甘えないで
大凶,愛されたいなら、愛しなさい。
大凶,受け止める勇気も必要。
大吉,気にしてるのは、相手も同じ。
大凶,傷ついてばかりの恋は運命じゃないんじゃない？
大吉,前に進めば必ず実る。頑張れ。
大吉,傷ついた分だけ強く慣れる。
大吉,脈なしなんて思うな！！！！
大吉,あの人も、あなたのことが好き。
大凶,スマホだけじゃ愛に限界はある。
